DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-02-01T02:17:27.390+00:00,-6.951,147.667,34.8,5.9,Mwp,,55,,,us,usc000ezhu,1359778418947
2013-02-01T02:11:37.500+00:00,48.017,-122.791,17.6,1.8,Ml,,112,,,uw,uw60503806,1359754006691
2013-02-01T02:09:43.700+00:00,36.013,-120.575,4.7,1.4,Md,,79,,,nc,nc71932621,1359772685453
2013-02-01T02:09:40.000+00:00,65.018,-149.031,17.7,1.1,Ml,,169,,,ak,ak10648446,1359684965785
2013-02-01T01:59:01.000+00:00,62.811,-147.823,42.4,1.8,Ml,,112,,,ak,ak10648440,1359684360106
2013-02-01T01:51:19.000+00:00,60.053,-152.249,26.1,1.3,Ml,,212,,,ak,ak10648436,1359683646230
2013-02-01T01:49:13.330+00:00,-10.985,165.476,29.8,4.9,mb,,76,,,us,usc000ezhs,1359698593985
2013-02-01T01:39:30.000+00:00,61.850,-149.863,35.2,1.4,Ml,,119,,,ak,ak10648427,1359683345768
2013-02-01T01:26:37.000+00:00,63.501,-146.349,9.8,1.1,Ml,,122,,,ak,ak10648416,1359682822169
2013-02-01T01:13:18.000+00:00,36.307,-120.859,7.7,1.4,Md,,86,,,nc,nc71932596,1359771187559
2013-02-01T00:51:17.000+00:00,62.281,-148.814,33.3,1.0,Ml,,187,,,ak,ak10648396,1359680184191
2013-02-01T00:42:59.720+00:00,-11.056,165.481,9.9,4.8,mb,,80,,,us,usc000ezhk,1359680732191
2013-02-01T00:38:58.000+00:00,62.165,-147.544,30.4,1.3,Ml,,176,,,ak,ak10648387,1359679322084
2013-02-01T00:18:08.470+00:00,-11.034,165.334,10.7,5.1,mb,,88,,,us,usc000ezhb,1359739309198
2013-02-01T00:12:09.700+00:00,32.542,-116.778,,1.6,Ml,,140,,,ci,ci15279681,1359753974246
2013-02-01T00:09:20.000+00:00,65.039,-147.432,,1.4,Ml,,209,,,ak,ak10648364,1359677888560
2013-02-01T00:03:31.000+00:00,35.659,-121.079,9.3,1.0,Md,,94,,,nc,nc71932551,1359681995414
2013-01-31T23:57:00.921+00:00,-10.990,165.478,10.0,4.6,mb,,103,,,us,us2013lbbf,1359682363418
2013-01-31T23:40:36.000+00:00,60.325,-150.939,41.3,2.8,Ml,,72,,,ak,ak10648345,1359676074387
